Organisatie ID;Organisatienaam;Organisatiecode;organisationKboNumber;Concept status;parentCode;nisCode;ovoKey;shortName;socialName;Laatst gewijzigd op;organisationForeignCode;organisationAssociationRegisterCode
OVO000032;Departement Kanselarij en Buitenlandse Zaken;OVO000032;;ACTIVE;;;OVO000032;DKBUZA;Departement Kanselarij en Buitenlandse Zaken;30/12/2025;;
OVO000096;Departement Mobiliteit en Openbare Werken;OVO000096;;ACTIVE;;;OVO000096;DMOW;Departement Mobiliteit en Openbare Werken;23/04/2026;;
OVO003323;Departement Omgeving;OVO003323;;ACTIVE;;;OVO003323;DOMG;Departement Omgeving;01/04/2026;;
OVO000049;Departement Onderwijs en Vorming;OVO000049;;ACTIVE;;;OVO000049;DOV;Departement Onderwijs en Vorming;29/01/2026;;
eef859ec-95fe-445e-b76f-b34e5e382501;Departement Werk, Economie, Wetenschap, Innovatie en Sociale Economie;OVO053580;;ACTIVE;;;OVO053580;DWEWIS;Departement Werk, Economie, Wetenschap, Innovatie en Sociale Economie;01/04/2026;;
OVO000056;Departement Zorg;OVO000056;;ACTIVE;;;OVO000056;Zorg;Departement Zorg;01/04/2026;;
OVO000558;Dienst met Afzonderlijk Beheer Loodswezen;OVO000558;767420151;ACTIVE;;;OVO000558;DAB Loodsw;DAB Loodswezen;30/12/2025;;
OVO000559;Dienst met Afzonderlijk Beheer Vloot;OVO000559;;ACTIVE;;;OVO000559;DAB Vloot;DAB Vloot;30/12/2025;;
OVO001831;Dienst van de Bestuursrechtscolleges;OVO001831;;ACTIVE;;;OVO001831;DBRC;Dienst van de Bestuursrechtscolleges;31/03/2026;;
OVO001830;Dienst van de gouverneurs;OVO001830;;ACTIVE;;;OVO001830;DVG;Dienst van de gouverneurs;30/12/2025;;
OVO048649;DXC Technology - ICT-partner voor mainframediensten;OVO048649;;ACTIVE;;;OVO048649;;;25/11/2025;;
OVO048646;DXC-Cegeka - ICT-partner voor Applicatiediensten;OVO048646;;ACTIVE;;;OVO048646;;;08/12/2025;;
f3779ec8-bc0c-4c5c-808f-e2499f1fdae6;"Eigen Vermogen ""Flanders Hydraulics";OVO000223;;ACTIVE;;;OVO000223;Flanders H;Flanders Hydraulics (FH);30/12/2025;;
OVO002956;Eigen Vermogen Digitaal Vlaanderen;OVO002956;;ACTIVE;;;OVO002956;;Eigen Vermogen Digitaal Vlaanderen;30/12/2025;;
OVO000146;Eigen Vermogen van het Instituut voor Natuur- en Bosonderzoek;OVO000146;;ACTIVE;;;OVO000146;EVINBO;Eigen Vermogen van het Instituut voor Natuur- en Bosonderzoek;30/12/2025;;
OVO000147;EIGEN VERMOGEN VH INSTITUUT VOOR LANDBOUW- EN VISSERIJONDERZOEK;OVO000147;;ACTIVE;;;OVO000147;EV ILVO;EIGEN VERMOGEN VH INSTITUUT VOOR LANDBOUW- EN VISSERIJONDERZOEK;30/12/2025;;
7d6d69ed-aa69-40b1-9b40-931eb1110581;Eigen Vermogen Xperta;OVO053646;;ACTIVE;;;OVO053646;EV XP;Eigen Vermogen Xperta;30/12/2025;;
OVO000080;ESF - AGENTSCHAP VLAANDEREN;OVO000080;476731541;ACTIVE;;;OVO000080;;ESF - AGENTSCHAP VLAANDEREN;30/12/2025;;
OVO048639;Eviden - ICT-partner voor Applicatiediensten;OVO048639;;ACTIVE;;;OVO048639;;;18/04/2025;;
39e2afc7-2ea8-467a-b98f-2da42f3aae12;Financieringsinstrument voor de Vlaamse visserij- en aquacultuursector;OVO000150;265527701;ACTIVE;;;OVO000150;;Financieringsinstrument voor de Vlaamse visserij- en aquacultuursector;30/12/2025;;
93b29e6c-3477-4281-8df9-2e7a93ad89b9;Fonds voor Innoveren en Ondernemen;OVO000140;;ACTIVE;;;OVO000140;FIO;Fonds voor Innoveren en Ondernemen;30/12/2025;;
OVO000042;Fonds voor wetenschappelijk Onderzoek - Vlaanderen;OVO000042;;ACTIVE;;;OVO000042;;Fonds voor wetenschappelijk Onderzoek - Vlaanderen;30/12/2025;;
dd11d1d1-2401-4bb3-b2c8-660adbca34f0;Gouverneur van de provincie Limburg;OVO027526;;ACTIVE;;;OVO027526;;;30/12/2025;;
fefe37be-293e-4015-87df-72276e2e5d3f;Gouverneur van de provincie Oost-Vlaanderen;OVO027528;;ACTIVE;;;OVO027528;;;30/12/2025;;
7a2f747a-70f5-4bef-82f5-2818dc975d50;Grindfonds - Fonds gravier;OVO000152;250937416;ACTIVE;;;OVO000152;;Grindfonds - Fonds gravier;30/12/2025;;
a7c5b9cc-fc34-4e15-83f2-a23bc153e791;Handhavingscollege;OVO001689;;ACTIVE;;;OVO001689;MHC;Handhavingscollege;30/12/2025;;
3dcdd756-2a16-4ea4-a1fb-f819c7130577;Hans Bonte, viceminister-president van de Vlaamse Regering en Vlaams minister van Wonen, Energie en Klimaat, Toerisme en Jeugd;OVO056605;;ACTIVE;;;OVO056605;;Hans Bonte, viceminister-president van de Vlaamse Regering en Vlaams minister van Wonen, Energie en Klimaat, Toerisme en Jeugd;22/01/2026;;
OVO000109;het Gemeenschapsonderwijs;OVO000109;;ACTIVE;;;OVO000109;ARGO;GO! onderwijs van de Vlaamse Gemeenschap;30/12/2025;;
OVO000795;Het Kinderrechtencommissariaat;OVO000795;;ACTIVE;;;OVO000795;Vl Kinderr;Vlaamse Kinderrechtencommissariaat;30/12/2025;;
OVO000617;Het Vlaams Parlement;OVO000617;;ACTIVE;;;OVO000617;;Het Vlaams Parlement;30/12/2025;;
018011fd-9c3e-4544-b7f7-ff4952eb0d7b;Hilde Crevits, viceminister-president van de Vlaamse Regering en Vlaams minister van Binnenland, Steden- en Plattelandsbeleid, Samenleven, Integratie en Inburgering, Bestuurszaken, Sociale Economie en Zeevisserij;OVO054206;;ACTIVE;;;OVO054206;;Hilde Crevits, viceminister-president van de Vlaamse Regering en Vlaams minister van Binnenland, Steden- en Plattelandsbeleid, Samenleven, Integratie en Inburgering, Bestuurszaken, Sociale Economie en Zeevisserij;30/12/2025;;
OVO000832;Inspectie van Financiën;OVO000832;;ACTIVE;;;OVO000832;;;09/02/2026;;
OVO000084;Instituut voor Landbouw-, Visserij- en Voedingsonderzoek;OVO000084;;ACTIVE;;;OVO000084;ILVO;Instituut voor Landbouw-, Visserij- en Voedingsonderzoek;30/12/2025;;
OVO000088;Instituut voor Natuur- en Bosonderzoek;OVO000088;;ACTIVE;;;OVO000088;INBO;Instituut voor Natuur- en Bosonderzoek;04/03/2026;;
OVO008456;Intercommunale Maatschappij Opera voor Vlaanderen;OVO008456;222061110;ACTIVE;;;OVO008456;;Intercommunale Maatschappij Opera voor Vlaanderen;30/12/2025;;
OVO002333;Interregionale entiteit VIAPASS;OVO002333;558940031;ACTIVE;;;OVO002333;;Interregionale entiteit VIAPASS;30/12/2025;;
1fe215ee-c3ac-4853-881a-e1ac73e5b924;Jo Brouns, Vlaams minister van Omgeving en Landbouw;OVO054209;;ACTIVE;;;OVO054209;;Jo Brouns, Vlaams minister van Omgeving en Landbouw;30/12/2025;;
562da012-ad8a-4dab-b295-a7b556e433a7;Kabinet van de minister-president van de Vlaamse Regering, Vlaams minister van Economie, Innovatie en Industrie, Buitenlandse Zaken, Digitalisering en Facilitair Management;OVO053549;;ACTIVE;;;OVO053549;Kabinet van de minister-president van de Vlaamse Regering, Vlaams minister van Economie, Innovatie en Industrie, Buitenlandse Zaken, Digitalisering en Facilitair Management;Kabinet van de minister-president van de Vlaamse Regering, Vlaams minister van Economie, Innovatie en Industrie, Buitenlandse Zaken, Digitalisering en Facilitair Management;28/01/2026;;
b353498b-5189-4837-b2a1-ffb990efa131;Kabinet van de viceminister-president van de Vlaamse Regering, Vlaams minister van Begroting en Financiën, Vlaamse Rand, Onroerend Erfgoed en Dierenwelzijn;OVO053551;;ACTIVE;;;OVO053551;Kabinet van de viceminister-president van de Vlaamse Regering, Vlaams minister van Begroting en Financiën, Vlaamse Rand, Onroerend Erfgoed en Dierenwelzijn;Kabinet van de viceminister-president van de Vlaamse Regering, Vlaams minister van Begroting en Financiën, Vlaamse Rand, Onroerend Erfgoed en Dierenwelzijn;30/12/2025;;
