Organisatie ID;Organisatienaam;Organisatiecode;organisationKboNumber;Concept status;parentCode;nisCode;ovoKey;shortName;socialName;Laatst gewijzigd op;organisationForeignCode;organisationAssociationRegisterCode
OVO000091;Openbare Vlaamse Afvalstoffenmaatschappij;OVO000091;842399963;ACTIVE;;;OVO000091;OVAM;Openbare Vlaamse Afvalstoffenmaatschappij (OVAM);01/04/2026;;
OVO000058;Opgroeien;OVO000058;;ACTIVE;;;OVO000058;OG;Opgroeien;22/01/2026;;
OVO000061;Opgroeien regie;OVO000061;;ACTIVE;;;OVO000061;OGR;Opgroeien regie;18/03/2026;;
dcbaasbeheer;Organisatie voor DCBaaS beheer;dcbaasbeheer;;ACTIVE;;;;;;28/02/2025;;
OVO000044;Participatiemaatschappij Vlaanderen;OVO000044;;ACTIVE;;;OVO000044;PMV;ParticipatieMaatschappij Vlaanderen;30/12/2025;;
72b074e6-b9ab-4efc-a87e-d7c4f75f3c71;Pendelfonds;OVO000193;548967936;ACTIVE;;;OVO000193;;Pendelfonds;30/12/2025;;
OVO048642;Proximus - ICT-partner voor Netwerkdiensten;OVO048642;;ACTIVE;;;OVO048642;;;09/12/2025;;
eb4e45d6-16bd-4aac-81f5-6555905bd257;Raad voor betwistingen inzake studievoortgangsbeslissingen;OVO000857;;ACTIVE;;;OVO000857;RSTVB;Raad voor Betwistingen inzake Studievoortgangsbeslissingen;30/12/2025;;
8f014af8-b3fe-4886-b10f-567262addb1b;Raad voor Vergunningsbetwistingen;OVO001688;;ACTIVE;;;OVO001688;RVVB;Raad voor Vergunningsbetwistingen;30/12/2025;;
18a9a64f-03d3-4aaa-ae05-91f0a280c2f1;Raad voor Verkiezingsbetwistingen;OVO001680;;ACTIVE;;;OVO001680;;Raad voor Verkiezingsbetwistingen;30/12/2025;;
OVO001561;SCHOOL INVEST;OVO001561;810538136;ACTIVE;;;OVO001561;School Inv;School Invest - nv;30/12/2025;;
OVO003924;Sectoraal partnerschap autosector en aanverwante sectoren;OVO003924;;ACTIVE;;;OVO003924;;;24/10/2017;;
OVO051569;Sectoraal Partnerschap Bedienden;OVO051569;;ACTIVE;;;OVO051569;;;25/04/2023;;
OVO039309;Sectoraal partnerschap binnenvaart;OVO039309;;ACTIVE;;;OVO039309;;;26/11/2020;;
OVO003925;Sectoraal partnerschap bouw;OVO003925;;ACTIVE;;;OVO003925;;;24/10/2017;;
OVO003926;Sectoraal partnerschap chemie, kunststoffen en life sciences;OVO003926;;ACTIVE;;;OVO003926;;;24/10/2017;;
OVO003927;Sectoraal partnerschap elektriciens : installatie en distributie;OVO003927;;ACTIVE;;;OVO003927;;;24/10/2017;;
OVO047590;Sectoraal partnerschap grafische sector en papier- en kartonbewerkende sector;OVO047590;;ACTIVE;;;OVO047590;;;26/11/2020;;
OVO003928;Sectoraal partnerschap groene sectoren;OVO003928;;ACTIVE;;;OVO003928;;;19/09/2022;;
OVO048566;Sectoraal partnerschap Handel – Detailhandel;OVO048566;;ACTIVE;;;OVO048566;;;30/12/2025;;
OVO048565;Sectoraal partnerschap Handel – Voedingshandel;OVO048565;;ACTIVE;;;OVO048565;;;30/12/2025;;
OVO048567;Sectoraal Partnerschap Handel – Zelfstandige kleinhandel;OVO048567;;ACTIVE;;;OVO048567;;;30/12/2025;;
OVO003930;Sectoraal partnerschap horeca;OVO003930;;ACTIVE;;;OVO003930;;;24/10/2017;;
OVO003931;Sectoraal partnerschap houtsectoren;OVO003931;;ACTIVE;;;OVO003931;;;24/10/2017;;
OVO003929;Sectoraal partnerschap kappers - fitness - schoonheidszorgen;OVO003929;;ACTIVE;;;OVO003929;;;24/10/2017;;
OVO003937;Sectoraal partnerschap kleding en confectie;OVO003937;;ACTIVE;;;OVO003937;;;24/10/2017;;
OVO003935;Sectoraal partnerschap lokale besturen;OVO003935;;ACTIVE;;;OVO003935;;;24/10/2017;;
OVO003932;Sectoraal partnerschap social profit;OVO003932;;ACTIVE;;;OVO003932;;;24/10/2017;;
OVO003938;Sectoraal partnerschap technologische industrie;OVO003938;;ACTIVE;;;OVO003938;;;24/10/2017;;
OVO003939;Sectoraal partnerschap textiel;OVO003939;;ACTIVE;;;OVO003939;;;24/10/2017;;
OVO003933;Sectoraal partnerschap textielverzorging;OVO003933;;ACTIVE;;;OVO003933;;;24/10/2017;;
OVO003936;Sectoraal partnerschap transport, logistiek en grondafhandeling op luchthavens;OVO003936;;ACTIVE;;;OVO003936;;;24/10/2017;;
OVO003955;Sectoraal partnerschap verkoop en marketing;OVO003955;;ACTIVE;;;OVO003955;;;30/12/2025;;
OVO003934;Sectoraal partnerschap voedingsindustrie;OVO003934;;ACTIVE;;;OVO003934;;;24/10/2017;;
5f018924-899c-40bd-b339-15275cd18275;Selectiecommissie Besturen van de erkende kerk- of geloofsgemeenschappen van de erkende erediensten;OVO056917;;ACTIVE;;;OVO056917;;;27/03/2026;;
OVO028730;Selectiecommissie Gemeenten;OVO028730;;ACTIVE;;;OVO028730;;;23/03/2026;;
adfeffbb-adbe-4e15-9000-0ff4564766b2;Selectiecommissie Instellingen met een publieke taak;OVO056916;;ACTIVE;;;OVO056916;;;27/03/2026;;
ad6c35bd-2958-445c-b4e7-5798464610f2;Selectiecommissie Polders en Wateringen;OVO056915;;ACTIVE;;;OVO056915;;;27/03/2026;;
OVO028731;Selectiecommissie Provincies;OVO028731;;ACTIVE;;;OVO028731;;;23/03/2026;;
OVO028729;Selectiecommissie Vlaamse overheid;OVO028729;;ACTIVE;;;OVO028729;;;15/01/2026;;
OVO001847;Sociaal Economische Raad van Vlaanderen;OVO001847;216754913;ACTIVE;;;OVO001847;SA.WSE;Strategische Adviesraad;30/12/2025;;
OVO000070;SPORT VLAANDEREN;OVO000070;248142826;ACTIVE;;;OVO000070;Sport Vl;Sport Vlaanderen;07/04/2026;;
OVO000107;STRATEGISCHE ADVIESRAAD RUIMTELIJKE ORDENING - ONROEREND ERFGOED;OVO000107;896717587;ACTIVE;;;OVO000107;SARO;Strategische adviesraad Ruimtelijke Ordening en Onroerend Erfgoed;30/12/2025;;
OVO000086;Strategische Adviesraad voor Landbouw en Visserij;OVO000086;809759364;ACTIVE;;;OVO000086;SALV;Strategische AdviesRaad Landbouw en Visserij;30/12/2025;;
OVO001565;TECHNOPOLIS;OVO001565;;ACTIVE;;;OVO001565;;TECHNOPOLIS;30/12/2025;;
OVO001843;Toegankelijk Vlaanderen;OVO001843;;ACTIVE;;;OVO001843;;Toegankelijk Vlaanderen;30/12/2025;;
OVO000034;Toerisme Vlaanderen;OVO000034;225944375;ACTIVE;;;OVO000034;TOVLA;Toerisme Vlaanderen;01/04/2026;;
a1985ede-9bf9-4702-aecb-8aa95ff491c4;Topstukkenfonds;OVO000166;841642076;ACTIVE;;;OVO000166;;Topstukkenfonds;30/12/2025;;
OVO008643;Vlaams Agentschap voor de Uitbetaling van Toelagen in het kader van het Gezinsbeleid;OVO008643;;ACTIVE;;;OVO008643;VUTG;Vlaams Agentschap voor de Uitbetaling van Toelagen in het kader van het Gezinsbeleid;18/03/2026;;
OVO000035;Vlaams Agentschap voor Internationaal Ondernemen;OVO000035;242401911;ACTIVE;;;OVO000035;FIT;Vlaams Agentschap voor Internationaal Ondernemen;30/12/2025;;
OVO000060;VLAAMS AGENTSCHAP VOOR PERSONEN MET EEN HANDICAP;OVO000060;;ACTIVE;;;OVO000060;VAPH;Vlaams Agentschap voor Personen met een Handicap;30/12/2025;;
fd203f35-e946-4750-a95b-35e0e4a87cc8;Vlaams Agentschap voor Samenwerking rond Gegevensdeling tussen de Actoren in de Zorg;OVO002411;652816235;ACTIVE;;;OVO002411;;Vl. Ag. Samenw. rond Geg. ts Act. id Zorg (VASGAZ);30/12/2025;;
OVO000175;VLAAMS AUDIOVISUEEL FONDS;OVO000175;475795886;ACTIVE;;;OVO000175;VAF;Vlaams Audiovisueel Fonds;30/12/2025;;
OVO000474;Vlaams Centrum voor Agro- en Visserijmarketing;OVO000474;;ACTIVE;;;OVO000474;;Vlaams Centrum voor Agro- en Visserijmarketing;30/12/2025;;
OVO051320;Vlaams Datanutsbedrijf;OVO051320;795547478;ACTIVE;;;OVO051320;;Vlaams Datanutsbedrijf;30/12/2025;;
OVO000090;Vlaams Energie- en Klimaatagentschap;OVO000090;;ACTIVE;;;OVO000090;VEKA;Vlaams Energie- en Klimaatagentschap;30/12/2025;;
OVO000733;Vlaams Energiebedrijf;OVO000733;;ACTIVE;;;OVO000733;Vl EneBed;Vlaams EnergieBedrijf;30/12/2025;;
8d33fce8-84a4-481b-965b-851081f204a0;VLAAMS FONDS VOOR DE LASTENDELGING;OVO000143;265528095;ACTIVE;;;OVO000143;;VLAAMS FONDS VOOR DE LASTENDELGING;30/12/2025;;
OVO000148;Vlaams Infocentrum Land- en Tuinbouw;OVO000148;;ACTIVE;;;OVO000148;VI LeTBouw;Vlaams Infocentrum voor Land- en Tuinbouw;30/12/2025;;
2ecb8a46-8997-4412-aa3a-972f2beb9c55;Vlaams Infrastructuurfonds voor Persoonsgebonden Aangelegenheden;OVO000066;254481973;ACTIVE;;;OVO000066;;Vlaams Infrastructuurfonds voor Persoonsgebonden Aangelegenheden;30/12/2025;;
OVO000236;VLAAMS INSTITUUT VOOR DE ZEE;OVO000236;;ACTIVE;;;OVO000236;VI Zee;Vlaams Instituut voor de Zee;27/03/2026;;
a1301b1a-61b2-4f6c-9971-39cfa421326f;Vlaams Instituut voor Vrede en Geweldpreventie;OVO000798;;ACTIVE;;;OVO000798;;Vlaams Instituut voor Vrede en Geweldpreventie;30/12/2025;;
bdffb035-7998-4626-ac0e-c43502239022;Vlaams Landbouwinvesteringsfonds;OVO000149;;ACTIVE;;;OVO000149;DVLIF;Dienst Vlaams Landbouwinvesteringsfonds;30/12/2025;;
OVO050766;Vlaams Mensenrechteninstituut;OVO050766;;ACTIVE;;;OVO050766;;Vlaams Mensenrechteninstituut;30/12/2025;;
d278898c-4774-4feb-9cec-a1d6ecee57bb;VLAAMS PENSIOENFONDS;OVO027160;;ACTIVE;;;OVO027160;;VLAAMS PENSIOENFONDS;30/12/2025;;
OVO001729;Vlaams Woningfonds;OVO001729;;ACTIVE;;;OVO001729;;Vlaams Woningfonds;30/12/2025;;
60a11431-278f-4dd3-8f03-0b09f5340b58;Vlaams-Brussel Fonds;OVO000132;548966451;ACTIVE;;;OVO000132;VBF;Vlaams-Brussel Fonds;30/12/2025;;
2e7b53ef-d9f9-4c0c-9f41-0e63b24ed0f5;Vlaamse Adviesraad voor Innoveren en Ondernemen;OVO053996;;ACTIVE;;;OVO053996;VARIO;Vlaamse Adviesraad voor Innoveren en Ondernemen;30/12/2025;;
OVO000031;Vlaamse Belastingdienst;OVO000031;;ACTIVE;;;OVO000031;VLABEL;Vlaamse Belastingdienst;19/03/2026;;
OVO000078;Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding;OVO000078;;ACTIVE;;;OVO000078;VDAB;Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding;20/04/2026;;
OVO001151;Vlaamse Gemeenschapscommissie;OVO001151;240682635;ACTIVE;;;OVO001151;;Vlaamse Gemeenschapscommissie;13/04/2026;;
OVO000237;Vlaamse Havens;OVO000237;834144867;ACTIVE;;;OVO000237;;Vlaamse Havens;30/12/2025;;
OVO001002;Vlaamse Herstelraad;OVO001002;;ACTIVE;;;OVO001002;;;31/03/2026;;
OVO000158;Vlaamse Hogescholenraad;OVO000158;650536537;ACTIVE;;;OVO000158;;Vlaamse Hogescholenraad;30/12/2025;;
OVO000041;VLAAMSE INSTELLING VOOR TECHNOLOGISCH ONDERZOEK;OVO000041;;ACTIVE;;;OVO000041;;VLAAMSE INSTELLING VOOR TECHNOLOGISCH ONDERZOEK;30/12/2025;;
OVO000157;Vlaamse Interuniversitaire Raad;OVO000157;418766123;ACTIVE;;;OVO000157;;Vlaamse Interuniversitaire Raad;02/01/2026;;
OVO000094;VLAAMSE LANDMAATSCHAPPIJ;OVO000094;;ACTIVE;;;OVO000094;VLM;Vlaamse Landmaatschappij;01/04/2026;;
OVO000103;VLAAMSE MAATSCHAPPIJ VOOR SOCIAAL WONEN;OVO000103;;ACTIVE;;;OVO000103;VMSW;Vlaamse Maatschappij voor Sociaal Wonen;30/12/2025;;
OVO000111;Vlaamse Maatschappij voor Watervoorziening;OVO000111;;ACTIVE;;;OVO000111;;Vlaamse Maatschappij voor Watervoorziening;30/12/2025;;
OVO000092;VLAAMSE MILIEUMAATSCHAPPIJ;OVO000092;887290276;ACTIVE;;;OVO000092;VMM;Vlaamse Milieumaatschappij;20/04/2026;;
OVO000093;Vlaamse Nutsregulator;OVO000093;;ACTIVE;;;OVO000093;VNR;Vlaamse Nutsregulator;30/12/2025;;
OVO000796;Vlaamse Ombudsdienst;OVO000796;;ACTIVE;;;OVO000796;;Vlaamse Ombudsdienst;30/12/2025;;
OVO000054;Vlaamse Onderwijsraad - Conseil flamand de l'Enseignement;OVO000054;249776285;ACTIVE;;;OVO000054;VLOR;Vlaamse Onderwijsraad;30/12/2025;;
OVO000045;VLAAMSE PARTICIPATIEMAATSCHAPPIJ;OVO000045;461896677;ACTIVE;;;OVO000045;;VLAAMSE PARTICIPATIEMAATSCHAPPIJ;30/12/2025;;
da935551-79c3-418f-925e-12e6612b49b6;Vlaamse Raad voor Welzijn, Volksgezondheid en Gezin;OVO050768;;ACTIVE;;;OVO050768;;;30/12/2025;;
3247ad6d-9ecd-496f-a45b-1f83d0b727e8;Vlaamse Regering;OVO000729;;ACTIVE;;;OVO000729;VR;Vlaamse Regering;06/02/2026;;
OVO000071;VLAAMSE REGULATOR VOOR DE MEDIA;OVO000071;893159865;ACTIVE;;;OVO000071;VRM;Vlaamse Regulator voor de Media;30/12/2025;;
OVO001726;Vlaamse Stichting voor Verkeerskunde;OVO001726;261150229;ACTIVE;;;OVO001726;VSV;Vlaamse Stichting voor Verkeerskunde - AV;30/12/2025;;
OVO003237;Vlaamse toezichtcommissie voor de verwerking van persoonsgegevens;OVO003237;726689851;ACTIVE;;;OVO003237;Vlaamse To;Vlaamse Toezichtcommissie voor de verwerking van persoonsgegevens;30/12/2025;;
ad51d699-35ef-49d5-8fda-b918aa75570e;VLAAMSE VERENIGING VOOR ICT-PERSONEEL;OVO001845;;ACTIVE;;;OVO001845;;VLAAMSE VERENIGING VOOR ICT-PERSONEEL;30/12/2025;;
OVO000100;Vlaamse Vervoermaatschappij - De Lijn;OVO000100;;ACTIVE;;;OVO000100;De Lijn;Vlaamse Vervoermaatschappij - De Lijn;30/12/2025;;
OVO000039;VLAIO (Agentschap Innoveren & Ondernemen);OVO000039;;ACTIVE;;;OVO000039;AIO;VLAIO (Agentschap Innoveren & Ondernemen);01/04/2026;;
OVO001841;vzw ‘de Rand’;OVO001841;;ACTIVE;;;OVO001841;;vzw ‘de Rand’;30/12/2025;;
ondersteuningGID;WebIDM;ondersteuningGID;;ACTIVE;;;;;;12/02/2020;;
OVO000106;Wonen in Vlaanderen;OVO000106;;ACTIVE;;;OVO000106;WONEN;Wonen in Vlaanderen;01/04/2026;;
507beea0-bbf8-459b-8cdf-513211d587aa;Zuhal Demir, Vlaams minister van Onderwijs, Justitie en Werk;OVO054211;;ACTIVE;;;OVO054211;;Vlaams minister van Onderwijs, Justitie en Werk;03/03/2026;;
